ts_anglevertical,anglevertical,ts_charge,charge,ts_co2,co2,ts_humidity,humidity,ts_illumination,illumination,ts_noise,noise,ts_powerstate,powerstate,ts_temperature,temperature,ts_timestamp,timestamp,ts_type,type
2022-08-10 02:45:25,89,2022-08-10 02:45:25,95,2022-08-10 02:45:25,588,2022-08-10 02:45:25,44,2022-08-10 02:45:25,0,2022-08-10 02:45:25,46,2022-08-10 02:45:25,1,2022-08-10 02:45:25,27.7,2022-08-10 02:45:25,1577960131,2022-08-10 02:45:25,normal
2022-08-10 02:50:25,90,2022-08-10 02:50:25,95,2022-08-10 02:50:25,589,2022-08-10 02:50:25,44,2022-08-10 02:50:25,0,2022-08-10 02:50:25,46,2022-08-10 02:50:25,1,2022-08-10 02:50:25,27.7,2022-08-10 02:50:25,1577960431,2022-08-10 02:50:25,normal
2022-08-10 02:55:25,89,2022-08-10 02:55:25,95,2022-08-10 02:55:25,592,2022-08-10 02:55:25,44,2022-08-10 02:55:25,0,2022-08-10 02:55:25,46,2022-08-10 02:55:25,1,2022-08-10 02:55:25,27.7,2022-08-10 02:55:25,1577960731,2022-08-10 02:55:25,normal
2022-08-10 03:00:25,89,2022-08-10 03:00:25,95,2022-08-10 03:00:25,606,2022-08-10 03:00:25,44,2022-08-10 03:00:25,0,2022-08-10 03:00:25,46,2022-08-10 03:00:25,1,2022-08-10 03:00:25,27.7,2022-08-10 03:00:25,1577961031,2022-08-10 03:00:25,normal
2022-08-10 03:05:25,89,2022-08-10 03:05:25,95,2022-08-10 03:05:25,595,2022-08-10 03:05:25,44,2022-08-10 03:05:25,0,2022-08-10 03:05:25,47,2022-08-10 03:05:25,1,2022-08-10 03:05:25,27.7,2022-08-10 03:05:25,1577961331,2022-08-10 03:05:25,normal
2022-08-10 03:10:25,89,2022-08-10 03:10:25,95,2022-08-10 03:10:25,590,2022-08-10 03:10:25,44,2022-08-10 03:10:25,0,2022-08-10 03:10:25,46,2022-08-10 03:10:25,1,2022-08-10 03:10:25,27.7,2022-08-10 03:10:25,1577961631,2022-08-10 03:10:25,normal
2022-08-10 03:15:25,89,2022-08-10 03:15:25,95,2022-08-10 03:15:25,595,2022-08-10 03:15:25,44,2022-08-10 03:15:25,0,2022-08-10 03:15:25,46,2022-08-10 03:15:25,1,2022-08-10 03:15:25,27.7,2022-08-10 03:15:25,1577961931,2022-08-10 03:15:25,normal
2022-08-10 03:20:25,89,2022-08-10 03:20:25,95,2022-08-10 03:20:25,579,2022-08-10 03:20:25,44,2022-08-10 03:20:25,0,2022-08-10 03:20:25,46,2022-08-10 03:20:25,1,2022-08-10 03:20:25,27.7,2022-08-10 03:20:25,1577962231,2022-08-10 03:20:25,normal
2022-08-10 03:25:25,88,2022-08-10 03:25:25,95,2022-08-10 03:25:25,603,2022-08-10 03:25:25,44,2022-08-10 03:25:25,0,2022-08-10 03:25:25,46,2022-08-10 03:25:25,1,2022-08-10 03:25:25,27.7,2022-08-10 03:25:25,1577962531,2022-08-10 03:25:25,normal
2022-08-10 03:30:25,90,2022-08-10 03:30:25,95,2022-08-10 03:30:25,606,2022-08-10 03:30:25,44,2022-08-10 03:30:25,0,2022-08-10 03:30:25,46,2022-08-10 03:30:25,1,2022-08-10 03:30:25,27.7,2022-08-10 03:30:25,1577962831,2022-08-10 03:30:25,normal
